time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
388980302491,17,12576.16,,0.03515625,107,0
388980302747,17,12576.16,,0.015625,107,0
388980303003,18,12576.16,,0.0,108,0
388980303259,18,12576.16,,0.0,109,0
388980303515,18,12576.16,,0.0,110,0
388980303771,17,12576.16,,0.015625,112,0
388980304027,17,12576.16,,0.04296875,114,0
388980304283,17,11208.32,,0.03125,117,0
388980304539,16,11208.32,,0.05078125,119,0
388980304795,15,11208.32,,0.0390625,119,0
388980305051,15,11208.32,,0.05078125,119,0
388980305307,15,10849.76,,0.0390625,119,0
388980305563,15,10849.76,,0.03125,119,0
388980305819,14,10849.76,,0.02734375,117,0
388980306075,14,10876.32,,0.08203125,115,0
388980306331,14,10876.32,,0.02734375,115,0
388980306587,14,10876.32,,0.015625,114,0
388980306843,15,10345.119999999999,,0.03125,112,0
388980307099,15,10345.119999999999,,0.01953125,111,0
388980307355,15,10345.119999999999,,0.0,109,0
388980307611,15,10345.119999999999,,0.0,106,0
388980307867,15,10345.119999999999,,0.015625,105,0
388980308123,15,10345.119999999999,,0.015625,105,0
388980308379,15,10345.119999999999,,0.08984375,105,0
388980308635,15,9800.6399999999994,,0.12890625,106,0
388980308891,14,9800.6399999999994,,0.0703125,106,0
388980309147,13,10889.6,,0.08984375,107,0
388980309403,13,10889.6,,0.12109375,109,0
388980309659,13,10889.6,,0.08203125,110,0
388980309915,13,10889.6,,0.0625,111,0
388980310171,14,10544.32,,0.04296875,111,0
388980310427,14,10544.32,,0.03515625,112,0
388980310683,14,10544.32,,0.0234375,112,0
388980310939,13,10544.32,,0.0234375,113,0
388980311195,13,10544.32,,0.05078125,113,0
388980311451,14,10849.76,,0.01953125,113,0
388980311707,14,10849.76,,0.015625,112,0
388980311963,15,10849.76,,0.015625,111,0
388980312219,15,10849.76,,0.0234375,109,0
388980312475,15,11420.799999999999,,0.01953125,107,0
388980312731,15,11420.799999999999,,0.01953125,106,0
388980312987,15,11420.799999999999,,0.015625,105,0
388980313243,15,11420.799999999999,,0.015625,104,0
388980313499,15,11420.799999999999,,0.1640625,102,0
388980313755,15,11420.799999999999,,0.27734375,101,0
388980314011,15,12443.359999999999,,0.22265625,99,0
388980314267,14,12443.359999999999,,0.109375,99,0
388980314523,14,12443.359999999999,,0.05078125,99,0
388980314779,13,12443.359999999999,,0.015625,100,0
388980315035,13,12443.359999999999,,0.015625,101,0
388980315291,13,12443.359999999999,,0.0234375,102,0
388980315547,14,12443.359999999999,,0.03515625,102,0
388980315803,13,12124.639999999999,,0.03125,103,0
388980316059,12,12124.639999999999,,0.0,104,0
388980316315,12,12124.639999999999,,0.015625,106,0
388980316571,12,12124.639999999999,,0.046875,106,0
388980316827,12,12124.639999999999,,0.05859375,106,0
388980317083,12,12509.76,,0.01953125,106,0
388980317339,12,12509.76,,0.01953125,106,0
388980317595,12,12509.76,,0.02734375,107,0
388980317851,13,12509.76,,0.01953125,108,0
388980318107,12,11752.799999999999,,0.01953125,108,0
388980318363,12,11752.799999999999,,0.03515625,108,0
388980318619,12,11752.799999999999,,0.0234375,108,0
388980318875,12,11752.799999999999,,0.015625,107,0
388980319131,12,11752.799999999999,,0.015625,106,0
388980319387,12,11752.799999999999,,0.01953125,105,0
388980319643,12,11752.799999999999,,0.01953125,104,0
388980319899,12,11752.799999999999,,0.015625,104,0
388980320155,12,10796.639999999999,,0.015625,103,0
388980320411,11,10796.639999999999,,0.01953125,102,0
388980320667,11,10796.639999999999,,0.015625,102,0
388980320923,10,10796.639999999999,,0.02734375,102,0
388980321179,10,10796.639999999999,,0.01953125,101,0
388980321435,10,10796.639999999999,,0.01953125,102,0
388980321691,11,10796.639999999999,,0.015625,102,0
388980321947,11,10796.639999999999,,0.01953125,103,0
388980322203,11,10796.639999999999,,0.015625,104,0
388980322459,10,10796.639999999999,,0.0,105,0
388980322715,10,10796.639999999999,,0.01953125,105,0
388980322971,10,10796.639999999999,,0.015625,103,0
388980323227,10,10796.639999999999,,0.04296875,102,0
388980323483,10,9946.7199999999993,,0.08203125,100,0
388980323739,10,9946.7199999999993,,0.1875,100,0
388980323995,10,9946.7199999999993,,0.0234375,100,0
388980324251,10,9946.7199999999993,,0.01953125,99,0
388980324507,10,10265.439999999999,,0.01953125,98,0
388980324763,10,10265.439999999999,,0.0546875,98,0
388980325019,10,10265.439999999999,,0.19921875,98,0
388980325275,10,10265.439999999999,,0.05859375,97,0
388980325531,10,10624.0,,0.05078125,99,0
388980325787,11,10624.0,,0.01953125,101,0
388980326043,11,11473.92,,0.0234375,104,0
388980326299,12,11473.92,,0.01953125,107,0
388980326555,12,11473.92,,0.015625,109,0
388980326811,12,11473.92,,0.015625,111,0
388980327067,12,11088.799999999999,,0.0234375,115,0
388980327323,12,11088.799999999999,,0.0234375,119,0
388980327579,12,12523.039999999999,,0.015625,119,0
388980327835,13,12523.039999999999,,0.0,118,0
388980328091,14,12523.039999999999,,0.01953125,117,0
388980328347,15,13094.08,,0.02734375,114,0
388980328603,15,13094.08,,0.015625,113,0
388980328859,15,13094.08,,0.0,112,0
388980329115,16,13094.08,,0.0,110,0
388980329371,16,13094.08,,0.0,110,0
388980329627,16,13094.08,,0.015625,110,0
388980329883,15,13094.08,,0.01953125,110,0
388980330139,15,13094.08,,0.09375,110,0
388980330395,15,13094.08,,0.109375,110,0
388980330651,16,13094.08,,0.1015625,111,0
388980330907,16,13094.08,,0.1171875,112,0
388980331163,16,13094.08,,0.1015625,113,0
388980331419,15,13014.4,,0.09765625,113,0
388980331675,14,13014.4,,0.0859375,112,0
388980331931,13,13014.4,,0.0390625,111,0
388980332187,13,12217.599999999999,,0.0234375,109,0
388980332443,13,12217.599999999999,,0.0234375,108,0
388980332699,14,12217.599999999999,,0.02734375,107,0
388980332955,14,12217.599999999999,,0.08984375,106,0
388980333211,14,13280.0,,0.11328125,106,0
388980333467,14,13280.0,,0.03125,106,0
388980333723,14,13465.92,,0.0859375,106,0
388980333979,14,13465.92,,0.05078125,106,0
388980334235,14,13465.92,,0.06640625,106,0
388980334491,14,13465.92,,0.16796875,106,0
388980334747,14,13465.92,,0.08203125,106,0
388980335003,14,13465.92,,0.08984375,106,0
388980335259,14,13465.92,,0.06640625,109,0
388980335515,14,13465.92,,0.06640625,110,0
